sender,timestamp,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,token_12,token_13,token_14,token_15,token_16,token_17,token_18,token_19,token_20,token_21,token_22,token_23,token_24,token_25,token_26,token_27,token_28,token_29,token_30,token_31,token_32,token_33,token_34,token_35,token_36,token_37,token_38,token_39,token_40,token_41,token_42,token_43,token_44,token_45,token_46,token_47,token_48,token_49,token_50,token_51,token_52,token_53,token_54,token_55,token_56,token_57,token_58,token_59,token_60,token_61,token_62,token_63,token_64,token_65,token_66,token_67,token_68,token_69
-1001333826717,2024-09-20 16:30:20+00:00,4,in,1,hand,blender,400watt,2700,free,delivery2,1,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-20 14:13:34+00:00,door,step,shoe,rack,18,55cm26cm114m,6,2600,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-20 11:27:02+00:00,decoration,1700,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-20 07:56:25+00:00,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-20 07:42:39+00:00,double,sided,carpet,tape,double,sided,carpet,tape,is,specially,intended,to,stick,very,effectively,to,two,surfaces,and,create,a,strong,bond,since,it,is,coated,with,adhesive,on,both,sides,size,5,700,2pc,free,delivery2,1,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-20 05:49:22+00:00,foldable,high,capacity,travel,bags,lightweight,travel,carry,bag,high,capacity,waterresistant,multiple,pockets,multifunctional,sport,travel,bags,it,is,portable,with,multiple,ways,to,carry,handheld,shoulderon,or,put,on,luggage,1500,1000,tmeleyueqa,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 17:31:57+00:00,sweat,shaper,slimming,body,shaper,sweat,shaper,size,sm,lxl,2xl3xl,1100,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 15:24:01+00:00,waist,training,corset,5,1000,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1,1,105b,2,22,3,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 13:39:57+00:00,slicer,1350,1000,free,delivery2,1,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 11:22:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 11:22:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 11:22:56+00:00,smile,facy,pan,1700,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-19 06:23:07+00:00,water,proof,for,pipe,leakage,for,roof,water,leakage,solution,aluminium,foil,tape,waterproof,adhesive,tape,sealing,butyl,rubber,tape,for,surface,crack,pipe,rupture,5,meter,900,1000,tmeleyueqa,1,1,105b,2,22,3,c10,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-18 07:42:19+00:00,impulse,sealer,1,300mm,2500,200,mm,2100,1000,tmeleyueqa,1,1,105b,2,22,3,c10,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-18 06:01:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-18 06:01:51+00:00,saachi,3,in,1,original,600,watt,16,litre,high,capacity,plastic,jar,2,speed,control,with,pulse,full,safety,switch,powerful,motor,ultra,sharp,blade,rotary,switch,for,easy,operate,plastic,lined,grinding,mill,4000,1,1,105b,2,22,3,c10,0933334444,lemazezz,0946242424,lemazez,0944109295,lemazez,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1001333826717,2024-09-17 16:40:12+00:00,0933334444,lemazezz,0944109295,lemazez,0946242424,lemazez,1000,tmeleyueqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
